Link_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Link_id,Link_throughput_plot,Packet_transmitted,Packet_transmitted,Packet_errored,Packet_errored,Packet_collided,Packet_collided,Bytes_transmitted(bytes),Payload_transmitted(bytes),Overhead_transmitted(bytes),,,,
 , ,Data,Control,Data,Control,Data,Control, , , ,,,,
All,NA,10018,10008,11,1,0,0,15948012,14610220,1337792,,,,
1,NA,5006,5004,5,0,0,0,7969428,7301460,667968,,,,
2,NA,5012,5004,6,1,0,0,7978584,7308760,669824,,,,
3,NA,0,0,0,0,0,0,0,0,0,,,,
4,NA,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Queue_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Device_id,Port_id,Queued_packet,Dequeued_packet,Dropped_packet,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TCP_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Source,Destination,Local Address,Remote Address,Syn Sent,Syn-Ack Sent,Segment Sent,Segment Received,Segment Retransmitted,Ack Sent,Ack Received,Duplicate segment received,Out of order segment received,Duplicate ack received,Times RTO expired
WIRED_NODE_2,ANY_DEVICE,11.1.1.1:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_3,ANY_DEVICE,11.1.1.2:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_4,ANY_DEVICE,11.1.1.3:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_5,ANY_DEVICE,11.1.1.4:0,0.0.0.0:0,0,0,0,0,0,0,0,0,0,0,0
WIRED_NODE_4,WIRED_NODE_2,11.1.1.3:82,11.1.1.1:36934,1,0,5000,0,12,1,5000,0,0,0,12
WIRED_NODE_2,WIRED_NODE_4,11.1.1.1:36934,11.1.1.3:82,0,1,0,5000,0,5001,1,0,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
IP_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Device Id,Packet sent,Packet forwarded,Packet received,Packet discarded,TTL expired,Firewall blocked,,,,,,,,
2,5002,0,5003,0,0,0,,,,,,,,
3,0,0,0,0,0,0,,,,,,,,
4,5014,0,5001,0,0,0,,,,,,,,
5,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
WIRED_NODE_2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.1.0.0,255.255.0.0,on-link,11.1.1.1 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.1.1.1 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.1.1.1 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.1.1.1 ,999,BROADCAST,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
WIRED_NODE_3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.1.0.0,255.255.0.0,on-link,11.1.1.2 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.1.1.2 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.1.1.2 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.1.1.2 ,999,BROADCAST,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
WIRED_NODE_4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.1.0.0,255.255.0.0,on-link,11.1.1.3 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.1.1.3 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.1.1.3 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.1.1.3 ,999,BROADCAST,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
WIRED_NODE_5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.1.0.0,255.255.0.0,on-link,11.1.1.4 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.1.1.4 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.1.1.4 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.1.1.4 ,999,BROADCAST,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
L2_SWITCH_1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mac Address,Type,OutPort,,,,,,,,,,,,
AF1D00000201,Dynamic,1,,,,,,,,,,,,
AF1D00000401,Dynamic,2,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Application_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Application Id,Application Name,Source Id,Destination Id,Packet generated,Packet received,Payload generated (bytes),Payload received (bytes),Throughput (Mbps),Delay(microsec),Jitter(microsec),,,,
1,App1_CBR,4,2,5000,5000,7300000,7300000,0.584,15879.48669,2394.038544,,,,
